영화명,평점,리뷰
범죄도시2,10,진짜~~~ 웃기고 재미있음 마동석한테 내가 맞은 느낌
범죄도시2,10,이제 믿고 보는 시리즈물
범죄도시2,10,단순해보여도 악당때려잡는 돈리.... 넘 멋져요... 타격감 미쳤음 지루할틈없이 금방 후다닥 끝나버려서 아쉬웠네요
유체이탈자,6,재미있을 ‘수’ 있었다.
더 배트맨,1,불면증 치료에 탁월 ㅎㅎㅎ
범죄도시2,9,속편은 망한다는 공식 시원하게 때려부쉈다! 다음에도 보고 싶은 마석도 형사.
범죄도시2,10,급이 다른 주먹 사운드에 놀랐다
범죄도시2,9,기대 이상으로 깔끔하게 잘 뽑힘. 손석구도 잘했음
범죄도시2,10,
범죄도시2,10,마동석 진짜 마블인줄....버스에서 실컷 뚜드려패고나와서 시민들한테아앗.. 죄송합니다 죄송합니다..!하면서 쭈구처럼 지나갈때 오히려 더 멋있음 ㅋㅋㅋㅋ
범죄도시2,10,진짜 시간 ㄱㅏ는지 모르고 봄 사람들 빵빵 터지고 재미있음
범죄도시2,10,존잼 ㅎㅎㅎ 3탄도 존버할래여
범죄도시2,10,진짜 개꿀잼!!!!오랜만에 영화관에서 웃었습니다!!!정말 최고
닥터 스트레인지: 대혼돈의 멀티버스,10,점점 딥해져서 머리가 어지럽지만 ㅠㅠ 존잼이니깐
범죄도시2,10,오랜만에 재밌게 봤네요
범죄도시2,10,ㅋㅋㅋㅋ겁나 웃김ㅋㅋㅋ
범죄도시2,10,배우들의 연기와중간중간 깨알웃음들이영화의 풍미를 더하네요
범죄도시2,10,진짜 시간 가는줄 모르고 봤네~1편 못지않게 재밌음~코로나 기간중 관객 최고 기록 세울거 같다~
범죄도시2,10,처음 평점 남겨봅니다 너무 통쾌하고 스트레스 풀리는 영화였어요~코로나로 인해 너무 오랜만에 보는 영화였는데 즐겁게 봐서 기분이좋네요~^^
범죄도시2,10,진짜 오랜만에 깔깔 웃다가 나왔어요ㅋㅋㅋㅋ개그며 연기며 액션이며 구멍이없습니다! 많이들 보세요!
범죄도시2,10,Very very Good
닥터 스트레인지: 대혼돈의 멀티버스,5,혼란하다 혼란해
범죄도시2,10,마동석의 말장난 굿!
닥터 스트레인지: 대혼돈의 멀티버스,8,역시 마블 CG보는맛있음
범죄도시2,8,오락영화로는 손색이 없는 후속작!! 요즘은 복잡한 걸 싫어하는데 그런 트렌드에 맞추어 마동석이 간다!
범죄도시2,10,국경없는 범죄의 소탕과 스릴있고 박력있는 액션 등 잘보았습니다..~*
범죄도시2,9,마동석 원맨쇼일 줄 알았다  기우였다   덜 웃길 줄 알았다  기우였다   금천서 사람들이 덜 나올 줄 알았다  기우였다      악역이 장첸일당 만큼의 분위기는 안 날 줄 알았다 기우였다     기대 훨씬 이상이었으며  칼춤이 너무 많이 나오는 점 빼곤 다 만족한다
무언의 목격자,10,
범죄도시2,10,진짜 레전드!!!! 최고 재밌습니다!!
