,리뷰
886,조아요 조아요 조아요
887,배송도 빠르고 잘샀어요 한대 더 구매했습니다
888,작은데 힘이 좋아요
889,배송도 빠르고 잘샀어요 대 째 샀어요
890,작고 타이머 기능이 없어서 반신반의했는데 엄청 시원해요 ㅎㅎ 그리고 타이머기능이 없어도 괜첞네요 가성비 짱이예요
891,잘쓸께요
892,바람이 시원하고 자리차지않는 귀요미
893,소리는 많이 나지만 많이 시원해요ㅎㅎ
894,바람도 시원하고 크기도 맘에들어요
895,냄세 관련은 그렇게 거슬리는 수준은 아닌거 같습니다
896,사진보면 알듯이 긁힘 얼룩있음 솔직히 세제품 아닌거같음 상품평에 탄내난다 갈린는것 같다는 말이많던데 싼맛에 그냥씀 바람은 단인데도 엄청 쎔 회전반경 도도 안됨 딱 정도 코드길이도 타제품비해 짧음
897,타이머는없어요
898,좋아요 좋아요 좋아요 ㅎㅎ 네
899,가격도 좋고 시원합니다ㅎ
900,타이머만 있다면 참 좋았을텐데그것빼곤 아주 좋아요이 가격에 만족합니다
901,스마일배송으로 시켜서 배송 빠른거빼곤 진짜 추천안해요 배송오고 뜯어보니 써큘레이터 기둥 고정하는 부품이 안와서 다시 전화해서 보내달라하고 쓰지도 못하고 일정도 기다렸는데 비오는날에 제품을 택배박스도 아니고 편지봉투에 넣어 보내셔서 다 젖어서 찢어져있고 안에 부품은 분실상태로 편지봉투만 왔습니다 ㅋㅋㅋ 다시 보내달라고 했더니 또 편지봉투로 보낸다는 문자가 와서 또 기다리냐고 제일 빠른 택배로 보내라 아님 환불해달라 했더니 전화 준다면서 전화도 안주고 달랑 부품 다시 보냈다고 일안에 도착한다는 문자만 왔네요 편지지로 보내지 말라고 했더만 이번 문자에도 결국 우편발송이라네요  상품문의 보니까 저처럼 부품 빠져서 오는사람 한두명 아닌거같은데 잘 확인하고 주문하세요 전 상품 받은지 일주일도 넘었는데 아직도 못 쓰고있답니다
902,배송 가격 디자인 정말 마음에 듭니다 근데 스크래치가 장난 아닙니다 만지면 뭔가 오돌오돌 느낌이 납니다 이건 중고를 산건지 새제품을 산건지 내꺼만 이런 건지 아무래도 포장비닐이 벗겨지고 이리저리 움직이면서 스크래치가 생기지 않았나 싶습니다 귀여워서 반품 교환 생각은 전혀 없습니다
903,받자마자조립해틀어보니시원하니좋아요 머리보다밑에받침대가좀더가볍긴한데이가격에이정도의퀄리티면좋은거져 잘쓸게요
904,위아래 회전 안되요 그냥 좌우로만 회전 되고소음 크다던데 그정돈 아니네요 그냥 그렇게 거슬릴정도는 아니에요 가성비 좋지만 전기선이 진짜 짧아요 그건 불편
905,배송빠르고 만족합니다
906,크기는 작은데 바람은 엄청 쎄네요 저렴하게 구매해서 더욱 만족합니다
907,작년에 잘쓰고 올해도 하나 더 구입합니다
908,가격대비 가성비 괜찮아요
909,이런저런 기능 없지만가격대비 바람이 엄청 쎄요
910,단 해도 바람이 엄청 쎄네요
911,가격대비 성능도 좋고 기능도 간단해서 좋네요 다만 타이머기능이 없는게 아쉽고 제품이 약간 불량인건지 회전할때 헤드가 반쪽만 돌아가네요 크게 문제 없으니 그냥 쓰렵니다
912,두개 주문했는데 하나는 중고 같은 걸 보내주셨네요 마감은 둘째치고 새제품 답게 최소한 깨끗한 제품을 받아 볼 수 있게 검수 정도는 해야하는 거 아닌가요 비닐만 열심히 싸놓으면 뭐합니까 제품을 뜯으면서 눈을 의심했습니다 싼 데 작동만 하면 되지라고 생각하는 분만 구매하세요 문제의 오염과 기스는 사진을 참고하세요
914,귀여운데 성능좋네요
915,빠르게받을수잇어서 그냥 다
916,잘 받았습니다 잘 받았습니다
917,바람이 엄청 쎄요 잘 쓰겠습니다 감사합니다
918,서쿨레이터라서 작은데도 일단 바람쎄고 좋아요 단점은 회전과 타이머 워낙저렴해서 그래도 훌륭합니다
919,하나구매해서 넘좋아서 재구매해서 가게두고자리차지마이안해서 짱 시원하고 좋아요
920,소음도 적고 진심 시원해요
921,바람쇄기 회전만족합니다 작은데 바람이세네요 다만 타임이없어아쉽고 소음은좀있어요 작고이뻐요
922,배송좋아요 만족합니다
923,엄청 시원해요 대신에 소리는 일반선풍기 두배네요
924,기둥 세울때 조립하기 좀 힘들었지만 그래도 여자인 제가 조립하기   소음이 좀 있지만 가성비 굿 시원하고 좋네욤ㅋ
925,생긴거도 예쁘고 짱짱하고 바람시원
926,크기도적당하고 딱찾는 사이즈에요
927,깨끗이 잘왔습니다 올 여름 시원하게보냈으면
928,조립도 간편하고 작은게 바람이 겁나 쎄네여아주 좋아여
929,하나 사고싶었는데 슈퍼딜 떴길래 저렴하게 구매했어요 깔끔하고 좋아요 선풍기보다 바람이 더 쎈거 같아요 날개부분이 작아 자리도 덜 차지하네요 조립할때 날개고정하는 게 안풀려서 겨우 뺐어요 그냥 따로 보내주시는게 낫지않나요 살짝 흠집이 났더라구요 ㅠㅠ 타이머가 있으면 더 좋았을뻔
930,쬐끄만게 시원해요 생각보다 마니 만족합니다
931,생각보다 헤드가 작았지만 시원해요
932,행사때 포인트로 차감해서 대 가격으로 대 구매했습니다
933,행사때 포인트로 차감해서 잘 샀네요 사이즈는 서쿨레이터 같은데 바람 세기 강하고 소음은 조금 있어요가격대비 괜챦아서 대 구매했어요
934,생각외로 시원한바람 소음도 적어요
935,조아요조아오조아요조아오조아요
936,소음이 있고 냄새가 나요 모터냄새인건지ㅡㅡ
937,상품평이 좋아서 딸램 자취방에 보냈습니다제품이 어떤지 물어보진 않았지만 상품평처럼 좋을꺼라 믿습니다번창하세요
938,딸에게 구입해주었는데 조립이 어렵다고 하네요
939,조립도 쉽고 정말 싸게 샀어요 좋아요
940,배송이 빠르고 좋아요
941,빠르고 안전하게 배송받았습니다
942,디자인도 이쁘고 바람도 잘나와요 이가격에 선풍기 가성비 짱입니다
943,타이머없다는거알고샀는데 가격대비괜찮아요 낼부터기온오르는데잘샀어요
944,가성비는 괜찮은데 저소음은 아닙니다
945,나름 평이 괜찮아서 샀는데 크기가 작고 그렇다보니 높이도 많이 올라가지않아요 서큘레이터라고 하기엔 소음이 크지 않아서 좋아요
946,굿이 이유 충분합니다
947,가성비 좋습니다 자주 이용하겠습니다
948,작은데 바람 엄청쌔네요 만족해요
949,선풍기보다 시원해요
950,선풍기 보다 소음 있지만 시원해요
951,배송은 빠르나 냄새가 심해요
952,아 진짜 너무 좋아 좋아 저렴하게 구입
953,좋아서 두번째 구매했어요 작은데 바람 최고예요
954,선풍기가 작은데도 정말 시원해요 애들이 선풍기가 귀엽다고 하네요 좋아요
955,가격도 저렴하고 조립도 쉽네요
956,선풍기 바람이네요 머리작아서 소리가 좀 나는 선풍기 가격이 싼건 이유가 있어요 자리는 조금 덜 차지하네요 아무튼 고장없이 오래 썼으면 합니다
957,선풍기보다 확실히 좋네요
958,시원하니 깔끔하니 좋아요
959,선풍기 너무 이쁘고 바람 정말 사원하고 강해요하나더 주문 해야 겠네요 
960,저렴하게 잘 구매했습니다
961,크기가 작네요그냥 저냥 입니다
962,잘받았습니다 잘받았습니다 예쁘네요 작동잘되구요
963,작은데 회전반경도 넓고 바람도 엄청시원해요
964,아담하고 괜찮은 상품이라 생각합니다
965,작아서 걱정했는데 다른 선풍기랑 별차이 없네요 시원해요 크기가 작아서 여러모로 유리한 점도 있고타이머 없지만 있어도 거의 사용 안하다보니 불편한건 모르겠어요
966,가격 원대인데 넘 많은거 바람 안되쥬 ㅎㅎ 소음은 견딜만하고 선풍기 머리가 작은데도 바람 쎄여 회전도 되고 ㅋㅋㅋ 스크레치가 잇엇는대 걍 써요
967,시원하니좋네요 소음은좀있네요
968,한개 구입해서 사용해보니 가격도 저렴하고 바람도 강하고 멀랔까지 시원합니다에어컨과 같이사용하면 더욱더 효과가 있어요
969,생각보다 소음이 크고 사이즈가 작아요
970,저렴하게 잘 구입 해서 사용합니다
971,배송빨라요 좌우로만 움직여 요 바람은시원해요
972,배송포장이 이래서 걱정했어요저렴한 게 혹시 누가 쓰던 건지 반품한 건지 등등다행히 열어보니 괜찮았어요 소리가 크다고 하던데 크지 않네요좋아서 하나 더 주문했어요
973,생각보다 작지만 성능은 좋네요
974,좋아요싸게잘사써요좋네요
975,작년 선풍기가 고장나고해서사계절 서큘레이터가 대세라  공기순환에도 좋고 환기에도 좋아서 후기 좋길래 샀어요 하루만에오고조립해보니조용한편이고바람도 좋으네요 올여름 잘 사용할께요 
976,생각보다작지만바람은세네요
977,아주좋소 많이 팔아 부자되셔 요 ㅎㅎ
978,조렴하게 잘삿오요 바람 너무 쎄다 최고임댜
979,가성비 괜찮습니다 바람도 크기도 적당
980,소음좀 잇긴한데머 이가격에 바람도 쌔고 나쁘진 않네요
981,조립 쉽네요 잘 쓸게요
982,맘에 들어서 재구매 햇어요
983,쓸만합니다시간이 없어 아쉽지만 바람은 시원해요
984,타이머 없는게 흠입니다
985,누락부품 우편으로 잘와서 사용해요 시원해요
986,빨리왔어요 저렴하고 베스트 상품이라 샀구여 그렇게 시끄럽지도 조용하지도 않아요
987,작년에 만원대로 산 서큘레이터랑 큰차이 없네요 기능이 좀적을뿐 아담하고 디자인예쁘고 바람시원합니다
988,가성비가 최고입니다 다이얼른 수동식이지만 조립하는데 분도 안걸리고 바람도 멀리까지 잘 나오고 소음도 이정도면 훌륭합니다
989,빨리잘받긴했는데헤드쪽테두리살짝긁힘있어요사용하다보면고장도나니까그냥사용합니다판매자님잘검수하시길요다른건다만족합니다
990,좋아요 싸게 잘샀어요
991,가격과 배송 물건 다 좋아요
993,좋아요 저렴해요 감사합니다
994,작은데 엄청 쎄요 ㅎ 이동 하기도 편하구 만족입니다
995,보네이도 써큘이 고장나 급하게 구입 일단 세일가격 만원에 스탠드 형이고 위아래 조절 쉽고 어차피 보네이도 것도 타이머 같은거 없어서 크게 불편하진 않고 크기대비 바람도 좋고 아주 만족합니다 다만 첫 사용시 냄새가 심하더라구요
996,길게 뽑을수 있어서 좋아요 바람도 세고 시원한데 소음은 좀 있어요 두개째 구매합니다
997,가격대비 좋곶 바린ㅁ도시원해요 강추
998,시간 예약이 없어서 매번 꺼야해요 시간예약 기능 있는것도 있던데 대우라서 삿더니만 별거 없네요 시끄럽고 차라리 구관이 명관이라고 선풍기 사세요 그냥 싸니까 화장실 틀어놓고 씁니다
999,좋아요 좋아요 좋아요 좋아요
1000,배송도 빠르고 좋아서 다시 주문했어요
1001,크기는작아도 바람도쌔고 시원합니다
1002,저렴하고 성능도 좋네요
1003,만원대 저소음절전모터는 아니지만 소음도 그다지 크지않고 좋습니다
1004,조립도 쉬웠고요 바람세기가 세고 엄청 시원합니다 처음이라 냄새는 조금 납니다
1005,배송빠르게 박스포장되어 안전하게 잘받았습니다 편하게 구매해서 좋아요 작지만 좋아요
1006,디자인도 깔끔하고 조립도 편리해요 그리고 조금한데 바람 진짜 강합니다ㅋㅋ
1007,배송도 빠르고 제품 좋아요
1008,넘 저렴한걸 샀나 후회중이네요 탄냄새가 넘 나서 베란다에 나뒀는데 안빠지는건 아닌지 걱정이네요ㅠㅠ 그냥 오육만원 짜리 살걸 근데 바람세기는 좋더라구요 시원해요 일단만해도요
1009,선풍기보다 바람이 쐬서 일단 시원하고요 에어컨튼거랑 안튼거랑 확실히 다릅니다 일단 시원해서 합격이고소음은 이정도면 선풍기랑별반 다른게 없는것같습니다 타이머만 되면 완전완전 좋은데 만족한합니다 너무좋아서 선물도 할예정입니다
1010,가성비 갑이네유 바람도 세고 좋아요
1011,여자인 제가 조립했는데도 쉬워요 다이얼 버튼도 부드럽게 잘돌아가고 시원해요
1012,상하조절이 많이 안되서 아쉽지만 좋네요
1013,여자인 저도 분만에 조립 끝 선풍기보다 훨 시원하네요 다만 소리가 큽니다 연결하는 선 부분이 구겨져 찢어져있던데 별이상 없고 교환하기 귀찮아 그냥 씁니다
1014,작지만 시원해요 가격도 저렴해요
1015,시원하고 조립이 쉬워요
1016,작고 귀엽고 군더더기 없고 조립 쉽고 조금 시끄럽지만 완전 시원
1017,좋아요 시원하고 가성비 굿굿
1018,풍량 조절이 아나로그ㅋ
1019,바람 직진성이 엄청 좋네요 크기가 생각보다 작아서 성능이 괜찮을까 했는데 소음도 없고 성능도 만족스럽습니다 배송은 주문하고 다음날 도착했어요
1020,귀엽네요 바람세기도 강하고 좋아요
1021,조립은 간단하나 고정나사가 안 풀려 고생했어요 회사에 전화하니 너무 친절하게 설명해 주어서 잘 조립했어요 단이어도 바람세기가 셉니다 아쉬운것은 미풍이 없어서 잠잘때 사용 불가이며 바람 소리가 큽니다 리모컨이 없어서 디자인인은 마음에 들어요 바람세기 성능을 본다면 추천합니다
1022,가격착하듯이 좀 부실함은 있어요 뒷부분 나사조임부분 살짝 금이가있었지만 사용하는데 문제없어서 그냥쓰려구요 가격 착한반면 시원하기는 엄청 시원해요 잘쓸게요
1023,번째 구매 합니다 저렴한 가격에 시원하고 소음도적어요
1024,크기는 작고 바람은 세요 소음은 조금 있어요
1025,조립도 쉽고 시원해요 나름
1026,평두좋구해서 구입해봤는데 괜찮네요
1027,친정엄마 사드렸는데 맘에 들어하세요작은데 바람이 세고 시원하다고 좋아하세요
1028,디자인도 깔끔하고 성능도 좋구요 가격대비 최고네요 에어컨이랑 함께 돌리니까 애들방까지 시원하게 하튼 온가족이 와 좋다 만 무한반복중
1029,좋은데요 바람도 세요 진작 살걸요
1030,흰색이라 예쁘고 작아도 시원하고 좋아요
1031,일반선풍기보다 바람이 시원한 느낌에 심플한 구성이라 대체로 만족
1032,리모컨만 더 있으면 금상첨화입니다
1033,그냥 그닥 그래요
1034,써큘 어제 오전에주문해서 하루만에 엄청빠른배송으로 받앗네요조립은 설명서보고 여자혼자분도 안되서 조립햇구요첨엔 받아보고 장난감같아서 시원할려나햇는데 정말 후기데로 단만해도 완죤시원하네요타이머는 있어도 사용안해서 불편한점은 모르겟구소음은 모제가 조립을잘해서인지 일반 선풍기보다 더 조용해요 ㅋ쿠폰사용원에 저렴히 여름 보내겟어요 참고로 일반 선풍기와 비교샷이예요 완죤 작고 귀여워요 
1035,저렴하게 잘구매햇네요 타이머는 없네요ㅠㅜ
1036,써큘 성능 좋아요 작아서 더 마음에 들어요
1037,작은데 시원하네요 
1038,일단이 중간풍 엄청 시원 소음도 중간정도로 가격대비 만족 고장만 쉽게 안난다면 강추
1039,잘받았어요두번째주문요ㅎ
1040,작지만 강력하네요 시원하네요 ㅎ
1041,여성인데도 혼자 조립했어요 좋아요
1042,두개째구매네요 만족해요
1043,아주좋아요 만족합니다
1044,싸고성능좋고 잘사용중입니다
1045,싸게 잘 샀어요
1046,바람이 강하고 순환이 잘되네요
1047,저렴하게 잘 구입했어요 아쉬운게 있다면 타이머가 없어 잠잘땐 좀 불편할것 같으네요 거실에서 사용하려고요
1048,배송 빠르고 좋습니다
1049,회전도 되고 바람이 쎕니다 타이머가 안되는것이 아쉽지만 튼튼하고 좋아요
1050,쓸데없는 기능은 빠져빠져
1051,단순한게 고장없고 좋더라구요 다양한 기능성이랑 고민하다 튼튼해보이기도해서 주문이요바람이 쎄요
1052,모양 예쁘고 생각보다 시원한데 목이 천정까지 가질않아
1053,다른것보 다 저렴하게 구매하네요 소리도 더비싸게 주고것 비교해도 비슷하네요 저렴해서 구매합니다 단추가 풍약 조절만 있고 시간조절 다른기능이 없네요
1054,정말 작네요 근데 바람은 엄청나네요 가격대비 굿
1055,일반 선풍기 크기구요 단계하면 소리는 좀 커요 아직 크게 덥지않아 일반 선풍기랑 큰 차이는 모르겠고 타이머가 안되는 단점이 있네요 기본 기능에 충실한 제품 같네요
1056,가격도 저렴하고 배송도 빠르고 제품도 좋아요 타이머가 없어서 아쉽지만 가격을 생각하면 만족합니다
1057,사이즈는 작은데 아주 당찹니다 좋아서 하나 더
1058,배송 빠르고 상품도 만족합니다 미풍이 생각보다 강하지만 거실용으로 만족합니다
1059,확실히 선풍기랑 다르네요 공기가 시원해지는 기분예요 ㅎ
1060,사이즈 귀여워요 시원합니다
1061,소리 좀 크지만 엄청 시원해요
1062,저렴하게 잘구매했어요 ㅎㅎ
1063,정말 작네요 조립도 쉬워요 바람은 시원해요 가격이 워낙 저렴해서 기대는 안했지만 마감이 부실해요 무지 가볍네요 누가 반품한걸 보냈는지 날개끼는 너트가 안돌아가서 애먹고 앞판 고정너트 삐뚤게 끼워놔서 헛돌아 쑈하며 간신히 빼서 조립했네요
1064,크기는 작아도 시원하네요 타이머가 없는지 몰랐네요
1065,분해해서 세척가능 가격대비쏘쏘해요
1066,대우 에어 써큘레이터스탠드선풍기 공기순환
1067,잘받았습니다 잘받았습니다 잘받았습니다
1068,조립은 어렵지않고 디자인도 괜찮아요 소응이 좀 큰게 단점이네요
1070,조립 금방 했고요 모터 타는 냄새 좀 날수있다하던데 조금 나는거 같지만 연기가 나고 그러진 않았어요 대신 소리가 매우 웅장합니다 단인데 ㅋㅋ 틀고 자기는좀 그럴거같고 에어컨 틀고 써큘 용도로는 좋습니다
1071,조립하는 설명서 보고 좀 헤메긴했지만 바람세기도 만족스럽고 너무좋네요 진작에 선풍기말고 써큘레이터쓸껄 올여름 시원하게 잘쓸수있을꺼같아여
1072,진짜 바람이 멀리나가요 좋은데 스크레치가 있어서 좀 그렇네요 뜯고 바로 재활용에 박스를 버려서 ㅠㅠ
1073,집에오는손님들이선풍기시원하다며 사달라고 해서 또 주문합니다 엄청 시원합니다
1074,소음은 조금 있습니다
1076,조아요조아요조아요조아요
1077,오우 완전 맘에 들어요
1078,생각보다 소음 있어요 그리고 나사를 얼마나 꽉 조여놨는지 너무 힘들었네요
1079,버튼이 아니라 불편합니다 가격이 저렴해요
1080,에어컨 켜고 쓸려고 구매햇는데 바람쌔여 이가격에 디자인도깔끔하고 자리차지도 안해서 조음 타이머 없는게 아쉽 소리는 거슬릴정도는 아닌듯
1081,써큘레이터 선풍기랑은 비교가 안되게 바람도 멀리가고 조립하기도 너무편리하네요 올여름 많이 덥다던데에어컨 안틀어도 시원할것같네요
1082,가성비 괜찮습니다 잘 쓸게요
1083,돌아가는건 문제없어서 그냥 쓰려고요 조금 찝찝하긴해요
1084,그냥저냥 쓸만하네요
1085,저렴하게 잘 샀어요
1086,할인해서 얼른구매 도착해서 보니 버튼도 없고 다이얼식이라 당황 앞이음새부분 좀 덜렁거림
1087,바람이 많이 시원해요 굿
1088,바람쎄고 튼튼하니 좋네요금액대비 짱
1089,생각보다 제품도 좋고 소리도 많이 안크네용
1090,타이머 없는게 마이 아쉽구용
1091,이정도면 확실히 저소음 맞음 ㅇㅇ타이머 없는건 좀 아쉽
1093,다이얼이 단순해서 어르신 있는집은 좋을듯 크기는 생각보단 작아요작은방에서 사용하면 괴안은 수준이고 완제품이 아닌 반조립 무튼 날개랑 몸통이랑 분리되서 왔는데 초등아이도 조립할만큼 쉬운정도에요 저렴하니 쏘쏘
1094,생각보다쪼금하지만 길고 아기한테 위험요소가 안보이는거같네요 저려미가격에 만족합니다
1095,생각보다 작네요 리모컨있는 제품으로 살려다가 고장이 쉽게 날듯해서 간단하고 심플한걸로 샀네요 외관은 깔끔하고 군더더기없어서 좋네요 성능은 좀 더 두고봐야할듯해요 잘써볼께용
1096,배달감사합니다 잘쓰겠습니다
1097,가성비 좋습니다 크기도 적당하고 잘 돌아가네요
1098,조아요조아조아요조아조아요조아조아요조아조아요조아조아요조아조아요조아조아요조아조아요조아조아요조아조아요조아조아요조아
1099,조그만 한게 넘나 귀엽고 정말 시원해요 하자없는 새상품으로 잘왔어요 진짜 귀여워요
1100,사진처럼 흠집도 나있고 높낮이 조절부분도 고장나서 제대로 고정도 안되고 전에 반품됐던 불량품을 재포장해서 출고한건지 진짜 너무하네요 다시 분해해서 비닐에싸서 박스에 넣어서 반품보내고 다시 받을때까지 기다렸다가 받아서 다시 조립할 생각이 엄두가 안나서 그냥 쓸까 싶은데 판매자님 제 상품평 보시고 새제품으로 보내주신다고 하면 받을 의향은 있으니 참고하세요
1101,젛아요 좋은 가격에 잘산거 같아요
1102,집 사무실 캠핑장 여러곳에 갖다놨어요
1103,아직 덥지 않아 개봉전입니다 선풍기 보다 부피도 작고 더 시원하다고 해서 구매했습니다
1104,미개봉이지만 리뷰보고구매했어요 좋을꺼라믿어요
1105,자세히 안보고 산 제 실수겠지만 타이머기능이 없는줄은 몰랐네요 이 기능은 기본이라 생각해서 당연히 있는지 알았어요 밤에는 사용을 못하겠어요 ㅠ
1106,가격이 저렴해서 조금 걱정했는데 선풍기보다는 훨씬 성능도 좋고 크기도 작아서보관도 용이합니다 다만 선풍기보다 소음이 조금 크다는 단점이 있어요
1107,조립도 쉬워요 청소할 때 귀찮긴 하겠지만ㅎ 에어컨 바람 퍼트리는 용도로 구매했어요
1108,배송 빠르고 상품 괜찮아용
1110,조립 쉽고요 머리 작아서 좋아요
1111,조금 불편하미여 ㅎㅎㅎㅎㅎ
1112,배송도 생각보다 오래걸렸는데 배송온 상자는 다 찌그러져있고 박스 테입도 뜯었다가 다시 붙이다 만것 같은게 반품제품 대충 담아보내것 같아 기분 나빴네요 반품신청 하려다가 걍 조립해서 사용해보니 제품 자체는 기본에 충실하고 괜찮네요
1113,디자인도 예쁘고 바람도 시원
1114,저렴한 가격에 상품도 좋아요
1115,조립하고 보니 로고가 거꾸로라 다시 했어요 ㅎㅎ 헤드는 작지만 힘은 센듯하구요 미풍 없고 타이머가 없네요 심플하니 더 고장 안나고 오래쓰길 바랍니다
1116,저렴하고 성능 좋습니다 그런데 박스 안에 곰팡이는 별로네요 습기 가득한 창고 보관이겠죠
1118,써큘레이터 선풍기 좋아요
1119,아주 시원하고 좋습니다
1120,설치 편리하고 작고 쎄네요
1121,당연히 있을줄알고 샀건만 바람은 좋아요
1122,잘쓰거 있어요 성른좋아요
1123,소리가 안 나고 좋습니다 잘 쓰겠습니다
1125,만족합니다 설명서 없이 조립도 간단하네요
1126,가격대비싸고좋아요
1127,저렴하게 구매 잘 했어요
1128,생각보다 작아요ㅡ
1129,전 가격대비 너무 조아서 한대 더 사러 왔네뇽
1130,가격대비 시원하고 재구매합니다
1131,배송빠르고 좋아요 조립쉽구요 성능도 좋습니다 와 정말 가성비템이네요 디자인도 깔끔하구요
1132,리모컨이 없으니 은근 불편하네여 돈 조금 더 주고 리모컨으롯 살껄 ㅠ
1133,더운여름 사용잘하겠습니다
1134,사고나니 다른제품이 세일하네요소음은 좀 나네요
1135,가격 저렴하고 강력한 바람 소음도 작고 빠른배송 다좋네요 저렴한 가격에 고급스러운걸 원하시거나 소음이 크다고 하시는분 냄새도 안나는데 냄새를 맡는분들같은 예민하신분에게는 비추입니다 이분들 후기때문에 다른걸 살뻔했어요
1136,최저가에 잘 샀습니다
1137,서큘레이터답게 바람은 강력하나 소리가 귀에거슬림집에있는 다른건이런소리안남 싸서그런가
1138,선풍기 성능 자체는 그럭저럭 괜찮은데 냄새가 며칠이 지나도 너무 심하게 나네요 반품하고 싶은데 박스를 버려서 그냥 써야할듯하네요
1139,가격도 저렴하고 시원해요
1140,귀엽운데 회전 안돼고 타이머 안돼네요 ㅜㅜ
1141,가성비도 굿 바람세기도 굿굿
1142,시간설정없어서 많이 불편해요소리도 작은편은아닌듯 바람이쎄고 시원해요
1143,배송빠르게 박스포장되어 안전하게 잘받았습니다 편하게 구매해서 좋아요
1144,배송빠르고좋습니다ㅇ
1145,바람도세고작지만시원해요
1146,배송이 빠르네요조립도 간단 아쉬운건 리모콘이 없다는거
1147,써큘레이터 써보니선풍기보다 더 괜찮은거같고 가격도저렴해서 구매했어요 생각햇던것보다 조금 작은감은있는데 이번여름 잘쓸것같아요
1148,단으로 돌리니 멀리까지 가네요 생각보다 사이즈가 작음 그리고 단계가 조금 약하길 바랜는데 좀 아쉬움
1149,복잡한 기능이나 소음이 적은것보다는 간단히 믿고 쓸만한걸 찾다가 예전명성 대우를 찾아 구매했습니다
1150,가격도 저렴하고 배송도 빠르고 가격대비 만족합니다
1151,배송빠르고 좋아요 가격대비 만족합니다 잔기스가 조금 있긴 했지만 만원대 가격이라 만족해요
1152,워매야 소리 더커블제 ㅠ 깜짝놀랬네 ㅠ 조립하는데 쫌 애먹었어요 여자혼자라 ㅠ 근데 바람은 겁나 쌘디 ㅡㅡㅋ 워매 깜짝놀램 ㅋㅋㅋ
1153,배송이 빨라요 좋아요
1154,쿠폰 사용해서 저렴히 구입했어요 조립도 간단하고 만족합니다 다만 대우 글씨있는데 스크레치있네요 사용하는데 지장없어서 괜찮아요
1155,일반 선풍기에 비해 바람세기가 엄청 세네요 저희집 선풍기 단이 이거 단보다 약해요 ㅋㅋㅋ 그렇다고 엄청 거슬릴 정도의 바람세기는 아니고 요즘 습하고 더운 날씨에 딱입니다
1156,자세한 설명없이 구입해서 낭폐봤습니다 걍 선풍기로 생각하고 구매하세요 윗 아래 수동 조절입니다
1157,쿠폰써서 싸게 잘 샀어요바람도 엄청 시원해요
1158,좋은 제품감사합니다좋은 제품감사합니다
1159,빠르게배송해주셔서 감사합니다
1160,받고 생각했던 것보다 너무 조그만해서 잘못싰다 생각했는데 바람은 강차고 시원하네요 불량도 좀 있어서 걱정했는데 잠시 틀어보니 괜찮음
1161,디자인 깔끔하고 이뻐요 시원하고 저렴하게 구매햇어요
1162,다른선풍기보다 엄청시원해요 저렴하게 구매햇네요 굿
1163,빠른배송 감사드립니다
1164,더운날 더운바람은 써큘레이터 잘못이 아니죠 정말 에어컨과 같이틀면 짱짱짱 바람 세기가 장난아니예요
1165,저렴하게 구입 해서 기분이 좋아요 기능도 쎄고 만족합니다
1166,가격대비 좋아서 번째 구입중 입니다
1168,성능은 좋은데 전선피복이 까졌네요 절연테이프로 감고 안으로 집어넣고 씁니다 검수가 잘되서 보내주셨음 하네요
1169,깔끔하고 가볍고 바람도쎄고 완전 좋습니다
1170,소음조금 있음 단으로해도 만족 돌리는 거라 좀 귀찮음
1171,첨에 남편이 조립하면서 너무 작은걸산것아니냐 했는데 바람 엄청강하네요
1172,바람은 단도 센편이고 소음은 어느 정도 있는 편이예요 가격만큼입니다
1173,작아도 성능은 좋아요 소음 좀 있어요
1174,가격도 넘 싸고 성능도 좋아요 타이머를 평상시에 잘 안써서 걍 샀는데 남편도 만족해합니다 근데 바람이 넘 쎄서 계속 못튼다는 한여름에 에어컨 앞에 놔두면 딱 좋을것 같아요
1175,와 일단을 틀었는데도 기본 선풍기 강풍정도의 세기네요 너무 만족해요 원 주고샀는데 이렇게 좋을수가 고민하시는분들 꼭 사세요 흰색이라서 인테리어 방해도 안되고 이쁜편인데 성능은 일반선풍기의 몇배씩 되네요 강추강추
1176,하나써보니쉬원하고좋아서 하나 두입했네요
1177,지인집에서 조그만게 너무 강력하더라구요 가격대비 좋아요 다만 소음은 선풍기보다 있어요
1178,배송도 빠르고 소음도 없이 시원한게 정알 좋아요 아쉬운점이 있다면 타임기능이 없다는점이지만 가걱대비 짱좋아요
1179,너무 귀엽게 생겼어요 타임어는 없지만 심플하니 좋아요 기회되먄 하나더 살려구요
1180,소음은 거슬리지 않는 정도예요 아주 좋아요
1181,동영상 자료랑 좀 달라서 조립하기 힘들었는데 제품은 괜찮아요
1182,배송빠르고좋아요 감사합니다
1183,가격대비 제품의 만족도는 약간 높은 편 바람도 세게 불어주고 멀리까지 불어줌 소음 약간 높은 편 리모컨 없는 점에 대해서는 그리 불편함이 없음
1184,대우 마크 하나 제대로 인쇄가 안 됐네요 정상 제품이 맞는지
1185,바람세고 시원해요 작년에 하나구매했는데 좋아서 한개더 구매했어요 단점은 시끄러워요
1186,생각보다 작긴한데 바람은 세네요
1188,하루만에 배송되고 가격대비 너무 훌륭합니다 조립도 쉽고 예뻐요 바람도 쎕니다 소음이 크다고 하는데 선풍기 정도의 소리라 거슬리지 않아요
1189,좋습니다ㅎ 최곱니다ㅎ
